Accession,Strain Description	
GCA_000009765.2,Streptomyces avermitilis MA-4680 = NBRC 14893 (high GC Gram+)
GCA_000010605.1,Streptomyces griseus subsp. griseus NBRC 13350 (high GC Gram+)
GCA_000015005.1,Mycolicibacterium smegmatis MC2 155 (high GC Gram+)
GCA_000196835.1,Amycolatopsis mediterranei U32 (high GC Gram+)
GCA_000203835.1,Streptomyces coelicolor A3(2) (high GC Gram+)	
GCA_000444875.1,Streptomyces collinus Tu 365 (high GC Gram+)
GCA_000739105.1,Streptomyces lividans TK24 (high GC Gram+)
