genome_id	organism    genus   species strain
NBC001270.1	Streptomyces sp. NBC001270    Streptomyces    sp. NBC001270
NBC001271.1 Streptomyces sp. NBC001271    Streptomyces    sp. NBC001271
NBC001170.1 Streptomyces sp. NBC001170    Streptomyces    sp. NBC001170
